GEO.id,zip,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
Geographic identifier code,Id2,Geographic area name,2012 NAICS code,Meaning of 2012 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
8610000US01505,01505,"ZIP 01505 (Boylston, MA)",00,Total for all sectors,2012,132,1344,12674,55295
8610000US01506,01506,"ZIP 01506 (Brookfield, MA)",00,Total for all sectors,2012,47,317,1567,6829
8610000US01507,01507,"ZIP 01507 (Charlton, MA)",00,Total for all sectors,2012,221,2769,29169,124529
8610000US01508,01508,"ZIP 01508 (Charlton City, MA)",00,Total for all sectors,2012,26,380,1440,6487
8610000US01509,01509,"ZIP 01509 (Charlton Depot, MA)",00,Total for all sectors,2012,4,14,155,880
8610000US01510,01510,"ZIP 01510 (Clinton, MA)",00,Total for all sectors,2012,262,3589,35126,149084
8610000US01515,01515,"ZIP 01515 (East Brookfield, MA)",00,Total for all sectors,2012,43,e,D,D
8610000US01516,01516,"ZIP 01516 (Douglas, MA)",00,Total for all sectors,2012,119,673,6265,28879
8610000US01518,01518,"ZIP 01518 (Fiskdale, MA)",00,Total for all sectors,2012,56,438,3640,17252
8610000US01519,01519,"ZIP 01519 (Grafton, MA)",00,Total for all sectors,2012,86,g,D,D
8610000US01520,01520,"ZIP 01520 (Holden, MA)",00,Total for all sectors,2012,279,2727,23623,98933
8610000US01521,01521,"ZIP 01521 (Holland, MA)",00,Total for all sectors,2012,24,80,528,2337
8610000US01522,01522,"ZIP 01522 (Jefferson, MA)",00,Total for all sectors,2012,28,105,558,2836
8610000US01523,01523,"ZIP 01523 (Lancaster, MA)",00,Total for all sectors,2012,117,1921,19741,77298
8610000US01524,01524,"ZIP 01524 (Leicester, MA)",00,Total for all sectors,2012,107,1312,8208,32403
8610000US01525,01525,"ZIP 01525 (Linwood, MA)",00,Total for all sectors,2012,20,238,2272,9222
8610000US01526,01526,"ZIP 01526 (Manchaug, MA)",00,Total for all sectors,2012,10,42,357,1618
8610000US01527,01527,"ZIP 01527 (Millbury, MA)",00,Total for all sectors,2012,291,4638,35717,152415
8610000US01529,01529,"ZIP 01529 (Millville, MA)",00,Total for all sectors,2012,36,88,530,2270
8610000US01531,01531,"ZIP 01531 (New Braintree, MA)",00,Total for all sectors,2012,14,34,142,889
8610000US01532,01532,"ZIP 01532 (Northborough, MA)",00,Total for all sectors,2012,478,7329,77015,314716
8610000US01534,01534,"ZIP 01534 (Northbridge, MA)",00,Total for all sectors,2012,60,865,7591,27123
8610000US01535,01535,"ZIP 01535 (North Brookfield, MA)",00,Total for all sectors,2012,73,821,7104,28705
8610000US01536,01536,"ZIP 01536 (North Grafton, MA)",00,Total for all sectors,2012,147,1752,20597,92979
8610000US01537,01537,"ZIP 01537 (North Oxford, MA)",00,Total for all sectors,2012,56,763,6944,29171
8610000US01538,01538,"ZIP 01538 (North Uxbridge, MA)",00,Total for all sectors,2012,17,c,D,D
8610000US01540,01540,"ZIP 01540 (Oxford, MA)",00,Total for all sectors,2012,220,3551,44772,161882
8610000US01541,01541,"ZIP 01541 (Princeton, MA)",00,Total for all sectors,2012,68,841,3838,15673
8610000US01542,01542,"ZIP 01542 (Rochdale, MA)",00,Total for all sectors,2012,36,483,4973,20540
8610000US01543,01543,"ZIP 01543 (Rutland, MA)",00,Total for all sectors,2012,106,771,5980,26762
8610000US01545,01545,"ZIP 01545 (Shrewsbury, MA)",00,Total for all sectors,2012,800,10134,101003,411893
8610000US01546,01546,"ZIP 01546 (Shrewsbury, MA)",00,Total for all sectors,2012,1,a,D,D
8610000US01550,01550,"ZIP 01550 (Southbridge, MA)",00,Total for all sectors,2012,342,5030,48185,192868
8610000US01560,01560,"ZIP 01560 (South Grafton, MA)",00,Total for all sectors,2012,60,286,2529,11301
8610000US01561,01561,"ZIP 01561 (South Lancaster, MA)",00,Total for all sectors,2012,30,582,5646,21449
8610000US01562,01562,"ZIP 01562 (Spencer, MA)",00,Total for all sectors,2012,217,2782,26643,110683
8610000US01564,01564,"ZIP 01564 (Sterling, MA)",00,Total for all sectors,2012,187,2286,22943,93210
8610000US01566,01566,"ZIP 01566 (Sturbridge, MA)",00,Total for all sectors,2012,241,3672,24108,102612
8610000US01568,01568,"ZIP 01568 (Upton, MA)",00,Total for all sectors,2012,151,786,5802,25822
8610000US01569,01569,"ZIP 01569 (Uxbridge, MA)",00,Total for all sectors,2012,259,3047,27481,124168
8610000US01570,01570,"ZIP 01570 (Webster, MA)",00,Total for all sectors,2012,359,6194,59685,234050
8610000US01571,01571,"ZIP 01571 (Dudley, MA)",00,Total for all sectors,2012,158,2276,21444,84841
8610000US01581,01581,"ZIP 01581 (Westborough, MA)",00,Total for all sectors,2012,925,22458,347440,1364597
8610000US01583,01583,"ZIP 01583 (West Boylston, MA)",00,Total for all sectors,2012,233,2549,21579,92735
8610000US01585,01585,"ZIP 01585 (West Brookfield, MA)",00,Total for all sectors,2012,87,792,6680,28444
8610000US01588,01588,"ZIP 01588 (Whitinsville, MA)",00,Total for all sectors,2012,209,2923,23552,97098
8610000US01590,01590,"ZIP 01590 (Sutton, MA)",00,Total for all sectors,2012,149,1875,17035,73396
8610000US01601,01601,"ZIP 01601 (Worcester, MA)",00,Total for all sectors,2012,11,196,1879,7578
8610000US01602,01602,"ZIP 01602 (Worcester, MA)",00,Total for all sectors,2012,279,2608,19594,81360
8610000US01603,01603,"ZIP 01603 (Worcester, MA)",00,Total for all sectors,2012,380,6097,50912,199909
8610000US01604,01604,"ZIP 01604 (Worcester, MA)",00,Total for all sectors,2012,728,15877,209322,853497
