Unnamed: 0,latitude,longitude,nrides
384,42.2942424242,-71.0118181818,-16.1756915501
385,42.2942424242,-71.0096969697,-16.2880781526
386,42.2942424242,-71.0075757576,-16.3977858756
387,42.2942424242,-71.0054545455,-16.5339767657
388,42.2942424242,-71.0033333333,-16.6901121046
389,42.2942424242,-71.0012121212,-16.8751263489
390,42.2942424242,-70.9990909091,-17.0813267806
391,42.2942424242,-70.996969697,-17.2631973097
392,42.2942424242,-70.9948484848,-17.4547415451
393,42.2942424242,-70.9927272727,-17.6526237298
394,42.2942424242,-70.9906060606,-17.8435850203
395,42.2942424242,-70.9884848485,-18.0239033047
396,42.2942424242,-70.9863636364,-18.1972312812
397,42.2942424242,-70.9842424242,-18.37007283
398,42.2942424242,-70.9821212121,-18.5123801794
399,42.2942424242,-70.98,-18.6519285117
400,42.2956565657,-71.19,-17.7558520838
401,42.2956565657,-71.1878787879,-17.5718594936
402,42.2956565657,-71.1857575758,-17.3970517605
403,42.2956565657,-71.1836363636,-17.2272123233
404,42.2956565657,-71.1815151515,-17.0570350297
405,42.2956565657,-71.1793939394,-16.8954969264
406,42.2956565657,-71.1772727273,-16.7430060782
407,42.2956565657,-71.1751515152,-16.5899409591
408,42.2956565657,-71.173030303,-16.4364407592
409,42.2956565657,-71.1709090909,-16.2735868351
410,42.2956565657,-71.1687878788,-16.1295824201
411,42.2956565657,-71.1666666667,-15.9832256942
412,42.2956565657,-71.1645454545,-15.8200100359
413,42.2956565657,-71.1624242424,-15.6550341878
414,42.2956565657,-71.1603030303,-15.4548352347
415,42.2956565657,-71.1581818182,-15.2224715927
416,42.2956565657,-71.1560606061,-14.9586968202
417,42.2956565657,-71.1539393939,-14.6872618371
418,42.2956565657,-71.1518181818,-14.43047633
419,42.2956565657,-71.1496969697,-14.2021078206
420,42.2956565657,-71.1475757576,-14.0124451285
421,42.2956565657,-71.1454545455,-13.8822800219
422,42.2956565657,-71.1433333333,-13.8117343036
423,42.2956565657,-71.1412121212,-13.7762179047
424,42.2956565657,-71.1390909091,-13.7356834791
425,42.2956565657,-71.136969697,-13.6294267568
426,42.2956565657,-71.1348484848,-13.424812819
427,42.2956565657,-71.1327272727,-13.084381892
428,42.2956565657,-71.1306060606,-12.5853892089
429,42.2956565657,-71.1284848485,-11.922612663
430,42.2956565657,-71.1263636364,-11.0725553467
431,42.2956565657,-71.1242424242,-9.99083738903
432,42.2956565657,-71.1221212121,-8.60206772992
433,42.2956565657,-71.12,-6.89055816697
434,42.2956565657,-71.1178787879,-5.00612700584
435,42.2956565657,-71.1157575758,-3.31503991185
436,42.2956565657,-71.1136363636,-2.30595265227
437,42.2956565657,-71.1115151515,-2.21015610408
438,42.2956565657,-71.1093939394,-2.84593965976
439,42.2956565657,-71.1072727273,-3.7459370237
440,42.2956565657,-71.1051515152,-4.41447904098
441,42.2956565657,-71.103030303,-4.75427459612
442,42.2956565657,-71.1009090909,-4.85469082787
443,42.2956565657,-71.0987878788,-4.86662206586
444,42.2956565657,-71.0966666667,-4.94018233334
445,42.2956565657,-71.0945454545,-5.1622414618
446,42.2956565657,-71.0924242424,-5.58045200578
447,42.2956565657,-71.0903030303,-6.21069530187
448,42.2956565657,-71.0881818182,-7.0450437316
449,42.2956565657,-71.0860606061,-8.06513284818
450,42.2956565657,-71.0839393939,-9.20468154376
451,42.2956565657,-71.0818181818,-10.4060474084
452,42.2956565657,-71.0796969697,-11.5773960898
453,42.2956565657,-71.0775757576,-12.6032631447
454,42.2956565657,-71.0754545455,-13.3806630262
455,42.2956565657,-71.0733333333,-13.8046606495
456,42.2956565657,-71.0712121212,-13.8154928585
457,42.2956565657,-71.0690909091,-13.4629968866
458,42.2956565657,-71.066969697,-12.9248005529
459,42.2956565657,-71.0648484848,-12.4738108824
460,42.2956565657,-71.0627272727,-12.3469818179
461,42.2956565657,-71.0606060606,-12.6262615745
462,42.2956565657,-71.0584848485,-13.2164631773
463,42.2956565657,-71.0563636364,-13.8261445503
464,42.2956565657,-71.0542424242,-14.127058635
465,42.2956565657,-71.0521212121,-14.0306611138
466,42.2956565657,-71.05,-13.547049259
467,42.2956565657,-71.0478787879,-12.803523907
468,42.2956565657,-71.0457575758,-11.9619055946
469,42.2956565657,-71.0436363636,-11.1645844767
470,42.2956565657,-71.0415151515,-10.5161151339
471,42.2956565657,-71.0393939394,-10.075832376
472,42.2956565657,-71.0372727273,-9.88181126473
473,42.2956565657,-71.0351515152,-9.94440886905
474,42.2956565657,-71.033030303,-10.2435138871
475,42.2956565657,-71.0309090909,-10.7389029347
476,42.2956565657,-71.0287878788,-11.3702921718
477,42.2956565657,-71.0266666667,-12.0532859775
478,42.2956565657,-71.0245454545,-12.7287833762
479,42.2956565657,-71.0224242424,-13.3831987377
480,42.2956565657,-71.0203030303,-13.9629155426
481,42.2956565657,-71.0181818182,-14.4580232312
482,42.2956565657,-71.0160606061,-14.8632700776
483,42.2956565657,-71.0139393939,-15.179856115
484,42.2956565657,-71.0118181818,-15.4372466244
485,42.2956565657,-71.0096969697,-15.6818029828
486,42.2956565657,-71.0075757576,-15.9318187908
487,42.2956565657,-71.0054545455,-16.1418567127
488,42.2956565657,-71.0033333333,-16.3677311714
489,42.2956565657,-71.0012121212,-16.6012744052
490,42.2956565657,-70.9990909091,-16.8490903903
491,42.2956565657,-70.996969697,-17.1021071446
492,42.2956565657,-70.9948484848,-17.3103704719
493,42.2956565657,-70.9927272727,-17.5151364329
494,42.2956565657,-70.9906060606,-17.7250382015
495,42.2956565657,-70.9884848485,-17.9195705249
496,42.2956565657,-70.9863636364,-18.0984202076
497,42.2956565657,-70.9842424242,-18.2743112508
498,42.2956565657,-70.9821212121,-18.4468904513
499,42.2956565657,-70.98,-18.5841616092
500,42.2970707071,-71.19,-17.6365100854
