latitude,longitude,nrides
42.2942424242,-71.0436363636,-5.77966597735
42.2942424242,-71.0415151515,-6.27870306516
42.2942424242,-71.0393939394,-6.70914998938
42.2942424242,-71.0372727273,-7.08620385448
42.2942424242,-71.0351515152,-7.43186861738
42.2942424242,-71.033030303,-7.77113231831
42.2942424242,-71.0309090909,-8.1289489402
42.2942424242,-71.0287878788,-8.52820536856
42.2942424242,-71.0266666667,-8.98824151434
42.2942424242,-71.0245454545,-9.52336802161
42.2942424242,-71.0224242424,-10.1411404343
42.2942424242,-71.0203030303,-10.8406655161
42.2942424242,-71.0181818182,-11.6116183219
42.2942424242,-71.0160606061,-12.4346836495
42.2942424242,-71.0139393939,-13.283745109
42.2942424242,-71.0118181818,-14.129509932
42.2942424242,-71.0096969697,-14.9436998578
42.2942424242,-71.0075757576,-15.7027354678
42.2942424242,-71.0054545455,-16.3900715405
42.2942424242,-71.0033333333,-16.9968588645
42.2942424242,-71.0012121212,-17.5211520878
42.2942424242,-70.9990909091,-17.9662309458
42.2942424242,-70.996969697,-18.3386704717
42.2942424242,-70.9948484848,-18.646642917
42.2942424242,-70.9927272727,-18.8986897366
42.2942424242,-70.9906060606,-19.1029851425
42.2942424242,-70.9884848485,-19.2669848198
42.2942424242,-70.9863636364,-19.3973164907
42.2942424242,-70.9842424242,-19.4997912209
42.2942424242,-70.9821212121,-19.5794584001
42.2942424242,-70.98,-19.6406675363
42.2956565657,-71.19,-19.7748315016
42.2956565657,-71.1878787879,-19.7627828095
42.2956565657,-71.1857575758,-19.7433938909
42.2956565657,-71.1836363636,-19.7135126721
42.2956565657,-71.1815151515,-19.6691224435
42.2956565657,-71.1793939394,-19.6054925062
42.2956565657,-71.1772727273,-19.5175005024
42.2956565657,-71.1751515152,-19.4001135294
42.2956565657,-71.173030303,-19.2489325368
42.2956565657,-71.1709090909,-19.0606183086
42.2956565657,-71.1687878788,-18.8329695634
42.2956565657,-71.1666666667,-18.5644583862
42.2956565657,-71.1645454545,-18.253166604
42.2956565657,-71.1624242424,-17.8952865129
42.2956565657,-71.1603030303,-17.4835825661
42.2956565657,-71.1581818182,-17.0063667298
42.2956565657,-71.1560606061,-16.4475450014
42.2956565657,-71.1539393939,-15.7881208879
42.2956565657,-71.1518181818,-15.0092241596
42.2956565657,-71.1496969697,-14.0963366391
42.2956565657,-71.1475757576,-13.0439882547
42.2956565657,-71.1454545455,-11.8598770784
42.2956565657,-71.1433333333,-10.5672256296
42.2956565657,-71.1412121212,-9.20434177077
42.2956565657,-71.1390909091,-7.82089569018
42.2956565657,-71.136969697,-6.47131360736
42.2956565657,-71.1348484848,-5.20666986045
42.2956565657,-71.1327272727,-4.06710208214
42.2956565657,-71.1306060606,-3.07667632264
42.2956565657,-71.1284848485,-2.24172164759
42.2956565657,-71.1263636364,-1.55244275095
42.2956565657,-71.1242424242,-0.987023244108
42.2956565657,-71.1221212121,-0.517857110612
42.2956565657,-71.12,-0.119800255459
42.2956565657,-71.1178787879,0.221424525843
42.2956565657,-71.1157575758,0.505395250819
42.2956565657,-71.1136363636,0.721926529767
42.2956565657,-71.1115151515,0.862656719991
42.2956565657,-71.1093939394,0.930302755399
42.2956565657,-71.1072727273,0.917104080204
42.2956565657,-71.1051515152,0.828924442325
42.2956565657,-71.103030303,0.722960458581
42.2956565657,-71.1009090909,0.604732390795
42.2956565657,-71.0987878788,0.479003305039
42.2956565657,-71.0966666667,0.356116595405
42.2956565657,-71.0945454545,0.253920335965
42.2956565657,-71.0924242424,0.196217060823
42.2956565657,-71.0903030303,0.208927511305
42.2956565657,-71.0881818182,0.314592014138
42.2956565657,-71.0860606061,0.525874271375
42.2956565657,-71.0839393939,0.836127205574
42.2956565657,-71.0818181818,1.20736436215
42.2956565657,-71.0796969697,1.58323289748
42.2956565657,-71.0775757576,1.84959235236
42.2956565657,-71.0754545455,2.02914448694
42.2956565657,-71.0733333333,2.1068461824
42.2956565657,-71.0712121212,2.08356792439
42.2956565657,-71.0690909091,1.96947087544
42.2956565657,-71.066969697,1.7751503962
42.2956565657,-71.0648484848,1.50492808604
42.2956565657,-71.0627272727,1.15439330966
42.2956565657,-71.0606060606,0.71164319156
42.2956565657,-71.0584848485,0.160349231665
42.2956565657,-71.0563636364,-0.510016575239
42.2956565657,-71.0542424242,-1.22428852997
42.2956565657,-71.0521212121,-1.95598666756
42.2956565657,-71.05,-2.68408671412
42.2956565657,-71.0478787879,-3.38404738319
42.2956565657,-71.0457575758,-4.03190538545
42.2956565657,-71.0436363636,-4.61100994588
42.2956565657,-71.0415151515,-5.11723826505
42.2956565657,-71.0393939394,-5.55996119466
42.2956565657,-71.0372727273,-5.95903497017
42.2956565657,-71.0351515152,-6.33989834455
42.2956565657,-71.033030303,-6.72889040491
42.2956565657,-71.0309090909,-7.14995891118
42.2956565657,-71.0287878788,-7.62287223346
42.2956565657,-71.0266666667,-8.16237819235
42.2956565657,-71.0245454545,-8.77761258401
42.2956565657,-71.0224242424,-9.47135016333
42.2956565657,-71.0203030303,-10.2391753991
42.2956565657,-71.0181818182,-11.0690502956
42.2956565657,-71.0160606061,-11.9418539889
42.2956565657,-71.0139393939,-12.8332049906
42.2956565657,-71.0118181818,-13.7163870011
42.2956565657,-71.0096969697,-14.5657406509
42.2956565657,-71.0075757576,-15.3596894581
42.2956565657,-71.0054545455,-16.0827184731
42.2956565657,-71.0033333333,-16.72601646
42.2956565657,-71.0012121212,-17.2869236069
42.2956565657,-70.9990909091,-17.7676153572
42.2956565657,-70.996969697,-18.1735244454
42.2956565657,-70.9948484848,-18.5118963885
42.2956565657,-70.9927272727,-18.790687541
42.2956565657,-70.9906060606,-19.0178436707
42.2956565657,-70.9884848485,-19.200891712
42.2956565657,-70.9863636364,-19.3467421878
42.2956565657,-70.9842424242,-19.461611588
42.2956565657,-70.9821212121,-19.5510043598
42.2956565657,-70.98,-19.6197230728
42.2970707071,-71.19,-19.7615466444
42.2970707071,-71.1878787879,-19.7507745945
42.2970707071,-71.1857575758,-19.7333332459
